time,Satellite_No.,Satellite_Angle,Satellite_Azimuth,C/No,lan,lon,alt
110217,23,61,159,24,2459.5795,12117.5898,129.8
110217,25,60,127,24,2459.5795,12117.5898,129.8
110217,28,38,259,40,2459.5795,12117.5898,129.8
110217,32,37,322,30,2459.5795,12117.5898,129.8
110217,24,15,48,17,2459.5795,12117.5898,129.8
110222,10,74,302,42,2459.5795,12117.5898,129.8
110222,23,61,159,27,2459.5795,12117.5898,129.8
110222,25,60,127,18,2459.5795,12117.5898,129.8
110222,28,38,259,40,2459.5795,12117.5898,129.8
110222,32,37,322,30,2459.5795,12117.5898,129.8
110227,10,74,302,43,2459.5795,12117.5898,129.8
110227,23,61,159,26,2459.5795,12117.5898,129.8
110227,28,38,259,40,2459.5795,12117.5898,129.8
110227,32,37,322,30,2459.5795,12117.5898,129.8
110227,18,9,189,19,2459.5795,12117.5898,129.8
110232,10,74,302,43,2459.5795,12117.5898,129.8
110232,23,61,159,26,2459.5795,12117.5898,129.8
110232,28,38,259,40,2459.5795,12117.5898,129.8
110232,32,37,322,32,2459.5795,12117.5898,129.8
110232,24,15,48,15,2459.5795,12117.5898,129.8
110232,18,9,189,18,2459.5795,12117.5898,129.8
110237,10,74,302,43,2459.5795,12117.5898,129.8
110237,23,61,159,26,2459.5795,12117.5898,129.8
110237,25,60,127,13,2459.5795,12117.5898,129.8
110237,28,38,259,41,2459.5795,12117.5898,129.8
110237,24,15,48,16,2459.5795,12117.5898,129.8
110242,10,74,302,44,2459.5795,12117.5898,129.8
110242,23,61,159,27,2459.5795,12117.5898,129.8
110242,28,38,259,41,2459.5795,12117.5898,129.8
110242,32,37,322,32,2459.5795,12117.5898,129.8
110247,10,74,302,43,2459.5795,12117.5898,129.8
110247,23,61,159,27,2459.5795,12117.5898,129.8
110247,28,38,259,41,2459.5795,12117.5898,129.8
110247,32,37,322,32,2459.5795,12117.5898,129.8
110247,31,10,242,18,2459.5795,12117.5898,129.8
110252,10,74,302,43,2459.5795,12117.5898,129.8
110252,23,61,159,27,2459.5795,12117.5898,129.8
110252,28,38,259,40,2459.5795,12117.5898,129.8
110252,32,37,322,33,2459.5795,12117.5898,129.8
110252,31,10,242,18,2459.5795,12117.5898,129.8
110257,10,74,302,43,2459.5795,12117.5898,129.8
110257,23,61,159,26,2459.5795,12117.5898,129.8
110257,28,38,259,40,2459.5795,12117.5898,129.8
110257,32,37,322,33,2459.5795,12117.5898,129.8
110302,10,74,302,43,2459.5795,12117.5898,129.8
110302,23,61,159,26,2459.5795,12117.5898,129.8
110302,28,38,259,39,2459.5795,12117.5898,129.8
110302,32,37,322,33,2459.5795,12117.5898,129.8
110307,10,74,300,43,2459.5795,12117.5898,129.8
110307,23,60,160,25,2459.5795,12117.5898,129.8
110307,28,38,260,39,2459.5795,12117.5898,129.8
110307,32,37,323,33,2459.5795,12117.5898,129.8
110312,10,74,300,43,2459.5795,12117.5898,129.8
110312,23,60,160,25,2459.5795,12117.5898,129.8
110312,28,38,260,39,2459.5795,12117.5898,129.8
110312,32,37,323,33,2459.5795,12117.5898,129.8
110317,10,74,300,43,2459.5795,12117.5898,129.8
110317,23,60,160,24,2459.5795,12117.5898,129.8
110317,28,38,260,39,2459.5795,12117.5898,129.8
110317,32,37,323,33,2459.5795,12117.5898,129.8
110322,10,74,299,43,2459.5795,12117.5898,129.8
110322,23,60,160,23,2459.5795,12117.5898,129.8
110322,28,38,260,38,2459.5795,12117.5898,129.8
110322,32,37,323,33,2459.5795,12117.5898,129.8
110322,15,7,103,13,2459.5795,12117.5898,129.8
110327,10,74,299,43,2459.5795,12117.5898,129.8
110327,23,60,160,23,2459.5795,12117.5898,129.8
110327,28,38,260,38,2459.5795,12117.5898,129.8
110327,32,37,323,33,2459.5795,12117.5898,129.8
110327,15,7,103,13,2459.5795,12117.5898,129.8
110332,10,74,299,44,2459.5795,12117.5898,129.8
110332,25,60,126,20,2459.5795,12117.5898,129.8
110332,23,60,160,22,2459.5795,12117.5898,129.8
110332,28,38,260,38,2459.5795,12117.5898,129.8
110332,32,37,323,33,2459.5795,12117.5898,129.8
110332,15,7,103,21,2459.5795,12117.5898,129.8
110337,10,74,299,43,2459.5795,12117.5898,129.8
110337,25,60,126,21,2459.5795,12117.5898,129.8
110337,23,60,160,22,2459.5795,12117.5898,129.8
110337,28,38,260,37,2459.5795,12117.5898,129.8
110337,32,37,323,32,2459.5795,12117.5898,129.8
110342,10,74,299,43,2459.5795,12117.5898,129.8
110342,25,60,126,20,2459.5795,12117.5898,129.8
110342,23,60,160,21,2459.5795,12117.5898,129.8
110342,28,38,260,37,2459.5795,12117.5898,129.8
110342,32,37,323,32,2459.5795,12117.5898,129.8
110347,10,74,299,43,2459.5795,12117.5898,129.8
110347,25,60,125,18,2459.5795,12117.5898,129.8
110347,23,60,160,21,2459.5795,12117.5898,129.8
110347,28,38,260,38,2459.5795,12117.5898,129.8
110347,32,37,323,32,2459.5795,12117.5898,129.8
110352,10,74,299,42,2459.5795,12117.5898,129.8
110352,25,60,125,16,2459.5795,12117.5898,129.8
110352,23,60,160,21,2459.5795,12117.5898,129.8
110352,28,38,260,38,2459.5795,12117.5898,129.8
110352,32,37,323,31,2459.5795,12117.5898,129.8
110357,10,74,299,42,2459.5795,12117.5898,129.8
110357,25,60,125,23,2459.5795,12117.5898,129.8
110357,23,60,160,21,2459.5795,12117.5898,129.8
110357,28,38,260,38,2459.5795,12117.5898,129.8
110357,32,37,323,31,2459.5795,12117.5898,129.8
110402,10,74,299,42,2459.5795,12117.5898,129.8
110402,25,60,125,23,2459.5795,12117.5898,129.8
110402,23,60,160,20,2459.5795,12117.5898,129.8
110402,28,38,260,39,2459.5795,12117.5898,129.8
110402,32,37,323,31,2459.5795,12117.5898,129.8
110407,10,74,298,43,2459.5795,12117.5898,129.8
110407,25,60,125,23,2459.5795,12117.5898,129.8
110407,23,60,160,13,2459.5795,12117.5898,129.8
110407,28,38,261,39,2459.5795,12117.5898,129.8
110407,32,37,323,30,2459.5795,12117.5898,129.8
110412,10,74,298,43,2459.5795,12117.5898,129.8
110412,25,60,125,23,2459.5795,12117.5898,129.8
110412,23,60,160,14,2459.5795,12117.5898,129.8
110412,28,38,261,39,2459.5795,12117.5898,129.8
110412,32,37,323,30,2459.5795,12117.5898,129.8
110412,18,9,188,12,2459.5795,12117.5898,129.8
110417,10,74,298,43,2459.5795,12117.5898,129.8
110417,25,60,125,23,2459.5795,12117.5898,129.8
110417,23,59,160,14,2459.5795,12117.5898,129.8
